1,1,7,1st May VIII,99,2008-08-22 00:00:00,2008-08-22 00:00:00
2,1,7,Women's 1st May VIII,96,2008-08-22 00:00:00,2008-08-22 00:00:00
3,1,7,1st Lent VIII,66,2008-08-22 00:00:00,2008-08-22 00:00:00
4,1,6,1st May VIII,99,2008-08-22 00:00:00,2008-08-22 00:00:00
6,1,5,1st Lent VIII,66,2008-08-22 00:00:00,2008-08-22 00:00:00
8,1,6,1st Lent VIII,66,2008-08-22 00:00:00,2008-08-22 00:00:00
10,1,5,2nd Lent VIII,64,2008-08-22 00:00:00,2008-08-22 00:00:00
11,1,5,2nd May VIII,97,2008-08-22 00:00:00,2008-08-22 00:00:00
12,1,6,2nd Lent VIII,64,2008-08-22 00:00:00,2008-08-22 00:00:00
13,1,5,3rd Lent VIII,62,2008-08-22 00:00:00,2008-08-22 00:00:00
14,1,5,3rd May VIII,89,2008-08-22 00:00:00,2008-08-22 00:00:00
15,1,5,Women's 1st May VIII,98,2008-08-22 00:00:00,2008-08-22 00:00:00
16,1,5,Women's 2nd May VIII,90,2008-08-22 00:00:00,2008-08-22 00:00:00
17,1,6,3rd Lent VIII,62,2008-08-22 00:00:00,2008-08-22 00:00:00
18,1,6,2nd May VIII,97,2008-08-22 00:00:00,2008-08-22 00:00:00
19,1,6,3rd May VIII,89,2008-08-22 00:00:00,2008-08-22 00:00:00
20,1,6,Women's 1st May VIII,98,2008-08-22 00:00:00,2008-08-22 00:00:00
21,1,6,Women's 2nd May VIII,90,2008-08-22 00:00:00,2008-08-22 00:00:00
22,1,4,Women's 1st May VIII,2,2008-08-22 00:00:00,2008-08-22 00:00:00
23,1,7,Novice 1st VIII,17,2008-08-22 00:00:00,2008-08-22 00:00:00
25,1,7,Fairbairns VIII,33,2008-08-22 00:00:00,2008-08-22 00:00:00
26,1,7,2nd Lent VIII,64,2008-08-22 00:00:00,2008-08-22 00:00:00
27,1,5,Novice 1st VIII,3,2008-08-22 00:00:00,2008-08-22 00:00:00
28,1,6,Fairbairns VIII,33,2008-08-22 00:00:00,2008-08-22 00:00:00
29,1,5,Novice 2nd VIII,2,2008-08-22 00:00:00,2008-08-22 00:00:00
30,1,7,3rd Lent VIII,62,2008-08-22 00:00:00,2008-08-22 00:00:00
31,1,7,4th Lent VIII Squad,60,2008-08-22 00:00:00,2008-08-22 00:00:00
32,1,7,Fairbairns IV,31,2008-08-22 00:00:00,2008-08-22 00:00:00
33,1,5,HORR VIII,80,2008-08-22 00:00:00,2008-08-22 00:00:00
34,1,7,Boar's Head HORR VIII,85,2008-08-22 00:00:00,2008-08-22 00:00:00
35,1,7,Women's HORR VIII,84,2008-08-22 00:00:00,2008-08-22 00:00:00
36,1,7,HORR VIII,83,2008-08-22 00:00:00,2008-08-22 00:00:00
41,1,7,BHBC,1,2008-08-22 00:00:00,2008-08-22 00:00:00
42,1,5,Women's 1st Lent VIII,65,2008-08-22 00:00:00,2008-08-22 00:00:00
43,1,5,Women's 2nd Lent VIII,63,2008-08-22 00:00:00,2008-08-22 00:00:00
44,1,6,Women's 1st Lent VIII,65,2008-08-22 00:00:00,2008-08-22 00:00:00
45,1,6,Women's 2nd Lent VIII,63,2008-08-22 00:00:00,2008-08-22 00:00:00
46,1,4,Women's 1st Lent VIII,1,2008-08-22 00:00:00,2008-08-22 00:00:00
47,1,7,Women's 1st Lent VIII,65,2008-08-22 00:00:00,2008-08-22 00:00:00
48,1,5,Women's Novice 2nd VIII,1,2008-08-22 00:00:00,2008-08-22 00:00:00
49,1,6,Women's Fairbairns IV,32,2008-08-22 00:00:00,2008-08-22 00:00:00
50,1,7,Women's 1st Novice VIII,16,2008-08-22 00:00:00,2008-08-22 00:00:00
51,1,7,Women's 2nd Lent VIII,63,2008-08-22 00:00:00,2008-08-22 00:00:00
