ID,SeasonID,EventName,ordernumber,eventreport,social
1,7,bedford head,59,,2
2,7,lent bumps - tuesday,62,,2
3,7,lent bumps - wednesday,63,,2
4,7,lent bumps - thursday,64,,2
5,7,lent bumps - friday,65,,2
6,7,lent bumps - saturday,66,,2
7,7,head 2 head,57,,2
8,7,pembroke regatta,60,,2
10,7,lent bumps - GOR,61,,2
11,7,newnham short course,58,,2
13,7,HORR,88,,2
14,7,cambridge head,89,,2
15,7,bedford regatta,90,,2
16,7,may bumps - wednesday,96,,2
17,7,may bumps - thursday,97,,2
18,7,may bumps - friday,98,,2
19,7,may bumps - saturday,99,,2
20,8,bedford autumn head,0,,2
21,8,four's head,1,,2
22,8,winter head,3,,2
23,8,queens' ergs,2,,2
24,8,emma sprints,4,,2
25,7,bedford autumn head,0,,2
26,7,fairbairns,33,,2
27,7,head of the charles,1,,2
28,7,autumn head,2,,4
29,7,four's head,3,,6
30,8,clare novices,5,,2
31,8,fairbairns,33,a good couple of days for qcbc, in particular for the novice men.  the 2nd men achieved the accolade of being crowned fastest men's novice VIII, while the 3rd men won the plate event.  The novice women also did us proud again - achieving their third 2nd place of the term.  To round it off, in senior fairbairns the blokes were able to put out 2 fours in the top ten - a sure sign of strength in depth. Due to injuries in the squad, the senior women were only able to put out one IV, but still finished in the top ten of college first IVs,2
32,6,may bumps - saturday,99,,2
33,6,may bumps - friday,98,,2
34,6,may bumps - thursday,97,,2
35,6,may bumps - wednesday,96,,2
36,6,lent bumps - saturday,66,,2
37,6,lent bumps - friday,65,,2
38,6,lent bumps - thursday,64,,2
39,6,lent bumps - tuesday,62,,2
41,5,may bumps - saturday,99,,2
42,6,fairbairns,33,,2
43,6,lent bumps - wednesday,63,,2
47,8,fairbairns cocktails,33,,3
48,8,lent bumps - saturday,66,a thoroughly mixed set of bumps for QCBC.  on a completely positive note the boat club now has all her boats where they should be, with the rise of the 3rd men into the bottom of the third division.  <br><br>sadly the women's boat club was hindered by having stronger opposition all around them - these races came too early during a time where the boat club is recovering from losing several may colours.  However, with every set of disappointing bumps races comes a turning point that can in the end prove vital to future success.  <br><br>the men's boat club enjoyed unparalleled success, at least when compared to recent years, with a total of up 10.  this is due to a good continuity of novice rowers from last term training very hard - and the third men are very worthy of their captain's blades.  hopefully this can continue to next term, and with the return of some triallists / mays colours, queens' should produce a 4th VIII good enough to get on. here's for up 16 next term!
<p style="FLOAT:right"><i>Christian</i></p><br>,2
53,5,may bumps - thursday,97,,2
52,5,may bumps - friday,98,,2
54,5,may bumps - wednesday,96,,2
55,7,boar's head dinner,67,,3
56,7,fairbairns cocktails,33,,3
57,7,may bumps supper,99,,3
58,7,lent bumps supper,66,,3
60,7,Christ's Formal,28,,3
62,5,lent bumps - tuesday,62,,2
63,8,newnham short course,35,,0
64,8,head of the nene,36,5000m head race in peterborough <a href="http://www.peterboroughcityrowing.co.uk/events.html" target="_top">details here</a>,2
65,8,pembroke regatta,37,1100m regatta from the stump at the bottom of the Long Reach to Peter's Post <a href="/pcbc/regatta.htm" target="_top">regatta website</a>,2
66,8,lent bumps - tuesday,62,a good first day of the bumping calendar, with two QCBC bumps and a rowover for QCWBC II.  <!--most up to date results at <a href="http://www.firstandthird.org/frames/results/dshow.phtml?view=rep&page=eventtype.27:eventid.317#menscharts" target="_top">first and third</a>-->
,2
67,8,lent bumps - wednesday,63,,2
68,8,lent bumps - thursday,64,,2
69,8,lent bumps - friday,65,,2
70,8,lent bumps - GOR,61,The Getting On Race is a timed race from the Little Bridge to the Pink House. The fastest crews (9 men's and 10 women's) are included in the Bumps Starting Order.  <a target="_top" href="http://www.cucbc.org/events/2004/lent/bumps/gor.html">getting on race</a>,0
71,8,bedford head,39,,4
76,8,bumps supper 2,66,,3
78,4,cambridge town bumps,1,,2
85,8,head 2 head,86,2 x 2,600m between Chesterton and the Motorway Bridge (and back again) <A href="http://www.ccrcrowing.org.uk/events/" target=_top>details here</a>,0
72,8,head of the trent,60,,4
79,8,CUWLRC v OUWLRC,71,,4
80,8,CULRC v OULRC,71,,4
81,8,Granta v Nepthys,71,,4
82,8,The Boat Race,71,,4
83,8,paul's bumps' pics,65,,5
84,8,head of the cam,85,2600 metres upstream, from Bovis Bridge (Motorway Bridge) to the Chesterton footbridge (Green Dragon) <a href="http://www.stlaurence.org.uk/cra/events/2004/head_of_cam/index.htm" target=_top>details here</a>,0
73,8,random bumps photos,60,,5
74,8,pembroke formal,50,,3
75,8,bumps supper,67,,3
77,8,HORR,70,,0
86,8,may bumps - saturday,99,,2
87,8,bedford regatta,87,<h3>15th May 2004</h3>
1,200m regatta on the great ouse in bedford. <a href="http://www.bedfordregatta.co.uk/" target=_top>details here</a>,4
88,5,lents bumps - thursday,64,,0
89,8,may bumps - GOR,95,,2
91,8,may bumps - wednesday,96,,2
90,8,champions' head,89,<h3>23rd May 2004</h3>
1,900m from one pub to another as fast as possible,2
92,8,may bumps - thursday,97,,2
93,8,may bumps - friday,98,,2
95,8,may bumps dinner,100,,7
97,9,Fairbairns,33,,2
96,9,cambridge autumn head,2,,0
98,9,Queens' Ergs,1,,2
99,9,HORR IV,3,,2
100,9,cambridge winter head,4,,0
101,9,Emma Sprints,5,A novice race side by side down the reach (500m) in fancy dress,2
102,9,Clare Novice Regatta,6,500m side by side race down the reach,2
104,9,head 2 head,35,,0
105,9,Newnham Short Course,36,,0
106,9,head of the nene,37,5000m head race,0
115,9,busa head,39,The course is trent bridge to the sailing club on the river trent in nottingham,2
108,9,pembroke regatta,38,,0
109,9,lent bumps gor,61,,0
110,9,lent bumps  - tuesday,62,,2
111,9,lent bumps - wednesday,63,,2
112,9,lent bumps - thursday,64,,2
113,9,lent bumps - friday,65,,2
114,9,lent bumps - saturday,66,,2
117,9,HORR,67,,2
119,9,Nottingham City Regatta,68,,0
120,9,Maiden Sculls,69,,0
121,9,Bushe-Fox Freshman Sculls,70,,0
122,9,Lowe Double Sculls,71,,0
123,9,Cambridge head to head,72,,0
124,9,Poplar, Blackwall & District Regatta,73,2km at the docklands,0
125,9,may bumps  -  wednesday,96,,2
126,9,may bumps  -  thursday,97,,2
127,9,may bumps  -  friday,98,,2
128,9,may bumps  -  saturday,99,,2
129,9,may bumps  -  gor,95,,4
130,9,may bumps,100,,4
132,10,Fairbairns,33,Another good year for Queens' at Fairbairns. Solid performances all round and, crucially, good improvements in fitness building towards winning Blades in the Lent Bumps. Get training over Christmas!,2
133,10,Fireworks Night BBQ,1,blank,3
134,10,Emma Sprints,4,,2
135,10,Clare Novice Regatta,5,,2
136,10,Cambridge Winter Head,3,Full Results - click <a href="http://www.cantabsrowing.org.uk/forum/dload.php?action=download&file_id=22&sid=3465fb6280814afd1d4f484c4e08e8e3">here</a>,2
137,10,HORR IV,1,,2
138,10,Queens' Ergo Comp,1, The annual Queens' Ergo competition-sponsored by Arthur D. Little- was another massive success this year with 968 novice rowers from across the university taking part.

The event sees crews of 8 novice rowers battle it out in a relay race against other colleges, with each rower completing a 500 meter sprint, before generally collapsing off the ergometer (rowing machine) exhausted and handing over to the next rower. Up to 16 crews were thrashing manically up and down their machines at any one time and with a total of 121 crews this was the biggest competition yet and easily the second biggest indoor rowing event in the country.  

It must be said that in terms of sheer noise and excitement levels it rivalled all other university sporting competitions going. The atmosphere amongst the crowd and the competitors was electric and it was clear from the start: this was a fun competition but it was also a serious one.  College flags were draped from the balconies and chants echoed around the arena, whilst team-mates and highly-excitable lower boats captains screamed encouragement over the pulsating beats of such classic sporting anthems as 'Eye of the Tiger'.  

In the Men's competition LMBC were able to hold off a strong Jesus crew throughout the final to lay claim to the title of fastest novice ergers on the Cam. Whilst in the Women's event Emma put in a similarly impressive display to beat all the other colleges. In the lower divisions LMBC C won the Men's event and Newnham C the women's. Special mention must go to Adam Sergeant from Homerton who managed to snap his erg and yet still record the fastest individual time of the evening. The fastest individual women's time was recorded by Elizabeth Smee from LMBC who powered through in 1 minute 34 seconds. With an impressive set of performances LMBC thus demonstrated their intentions to other colleges, showing that they will be the crew to beat in Fairbairns.  

Most important of all, as the crews dispersed from the arena at the end of the night with 'Final Countdown' echoing in their ears it was clear that they had experienced something epic and would be enjoying their college rowing for years to come.,2
139,10,Cambridge Autumn Head,2,,2
140,10,Committee Curry,1,Ahh the Mahal :),3
141,10,Fairbairns Cocktails,1,As always, a very messy night. With the novices (now seniors), old seniors, and Boars (the Queens' Boat Club old boys) in the bar and Jingles in force.,3
143,10,Ergo Comp Men's Final,1,,3
144,10,Ergo Comp Women's Final,1,,4
145,10,Ergo Comp Men's Division1 Race1,1,,6
146,10,Ergo Comp Men's Division1 Race2,1,,6
147,10,Ergo Comp Men's Division1 Race3,1,,6
148,10,Ergo Comp Women's Division1 Race1,1,,6
149,10,Ergo Comp Women's Division1 Race2,1,,6
150,10,Ergo Comp Women's Division1 Race3,1,,6
151,10,Ergo Comp Men's Division2 Race1,1,,6
152,10,Ergo Comp Men's Division2 Race2,1,,6
153,10,Ergo Comp Women's Division2 Race1,1,,6
154,10,Ergo Comp Women's Division2 Race2,1,,6
155,10,Head of the Nene,37,<i>4th Feb 2006</i>: 5000m Head Race. Peterborough was a bit warmer and certainly dryer than previous years. A very straight, and very featureless river. Still, good racing all round and a good day out for QCBC.,2
156,10,Newnham Short Course,34,<i>4th Feb 2006</i>: Newnham Short Course Regatta runs from the Little Bridge above Baitsbite Lock to the Railings.,2
157,10,Bedford Eights Head,38,<i>12/02/2006</i>: 2,000m head race. Lots of rain, really early, rather cold, but superb rowing from both the 1st and 2nd VIII. Terrific improvement since the Head of the Nene - looking very strong for Pembroke next weekend!,2
160,10,Pembroke Regatta,39,<i>18/02/2006</i>: 1,100m race from the top of the reach to just before the P & E.,2
161,10,The Lents - G.o.R.,61,<i>24/02/06</i>,0
162,10,The Lents - Tuesday,62,<i>28/02/06</i>,2
163,10,The Lents - Wednesday,63,<i>01/03/06</i>,2
164,10,The Lents - Thursday,64,<i>02/03/06</i>,2
165,10,The Lents - Friday,65,<i>03/03/06</i>,2
166,10,The Lents - Saturday,66,<i>04/03/06</i>,2
167,10,1st Lent VIII Crew Dinner,67,<i>23/02/06</i>Hosted in QCBC central by Ian and Rich. Good evening of food, beer and bumps stories.,7
168,10,Lent Bumps Dinner,68,<i>04/03/06</i>,5
169,10,QCBC at Cycling Cuppers,69,<i>11/03/06</i>: 10 mile time trial. There were two main two divisions; mountain bike and road bike (with two unicycles).,0
170,10,Challenge Sculls,70,<i>14/03/06</i> The Challenge Sculls. Andy and Jon have done very little. Rich and Nick only marginally more. May the least incompetent win!<br><br>
Draw is up <a href="http://www.firstandthird.org/tables/stcs/draw.shtml" target="top">here</a>.,2
171,10,Head of the River Race,71,<i>25/03/06</i> The Head of the River Race (HORR) is a processional race for eights rowed over the 4.25 mile (6,838m) championship course from Mortlake to Putney i.e. the (Oxford-Cambridge)Boat Race course in reverse. It involves a maximum of 420 crews and involves some 3,750 competitors, believed to be a record number for a single continuous rowing event. More information on the history of the race can be found <a href="http://www.kingston.ac.uk/~kx21229/Horr.html" target=new>here</a>.<br><br>

The draw, race details and results are posted at <a href="http://www.horr.co.uk/" target=new>http://www.horr.co.uk/</a>.,2
172,10,Boar's Head Dinner,72,,7
173,10,Easter Training Camp,73,<b>17/04/06-22/04/06: Shrewsbury</b>
<br><br>
<a href="http://www.srcf.ucam.org/qcbc/pictures/index.php?seasonid=10&crewname=Easter+Holidays&eventname=Easter+Training+Camp"><img src="http://www.srcf.ucam.org/qcbc/pictures/10/Easter Holidays/Easter Training Camp/DSC_0002.JPG" align="right" border=0></a>
Given the fecal aromatic aura surrounding both squads by the end of the Easter training camp, one can only assume that this year's crop of rowers only brought one change of rowing gear. So quite how the ladies of QCBC managed to bring such large suitcases will remain a mystery, only partly explained by Mills's industrial sized bar of Dairy Milk. It was also a miracle that so many found the place - despite the rigorous academic training of the Cambridge University Geography Department, it appeared that George had gone over the lines when colouring in his map of England and was convinced that Shrewsbury was in Wales. For the final time, it's not.<br><br>
 
The facilities at Shrewsbury were quite outstanding, and we made good use of them. 30 minutes of steady state rowing without stopping, with a coach merely feet away in a launch was quite a revelation. Granted, none of our coaches will be entering the National Power Boat Driving Championships any time soon, but the mud from the bank washed off the front of the launches quite easily so Helen, your secret's safe with us. The river was completely empty of other boats. Apart, of course, from the odd schoolboy eight. Our boys put them back in their box, however. Oh yes. As they lined up on the start the mighty men of the QCBC glanced over at their opponents and smiled. "This is going to be a walkover", they thought, chuckling at what the massed ranks of spectators on the bank would think. And of course they were quite right, it was a walkover. The Shrewsbury School J15 VIII absolutely nailed them. Consolation came when we realised that at least half the schoolboy crew had actually celebrated their 15th birthdays. Because being beaten by 14 year olds would have been embarrassing, you understand.<br><br>
 
Each morning the coaches and coxes were treated to the view of Ellie poking her bum in the air expectantly, as we did a core session. This was followed by 2 or 3 outings or technical ergs, lunch, Neighbours, and occasionally Pingu (though Cf had gone home at this point). The only two alternative training sessions were a 6 mile run upstream for the boys on Monday afternoon which knackered them out for the entire week (though Matt Young decided that 6 miles wasn't enough, and promptly returned an hour after everyone else having discovered an alternative source of the river Severn just east of the Snowdonia National Park), and a football session. The football was going really well for the first couple of minutes - one of the girls even managed to make contact with the ball as she swung wildly - until Matt, obviously still keen to prove a point after his marathon training a couple of days before, slid into the concrete footpath. I personally had never seen anyone's tibia before, and neither, it appears, had Cath - obviously 5 years of medical training and 18 months on the wards hadn't quite prepared her for the sight of blood and guts. She'll be an incredibly reassuring doctor if her response to every injury is "EEEEUUUUUGGGGHHHH!!!". Fortunately A&E in Shrewsbury is a darn sight better than the MPhil course in queueing at Addenbrookes and an hour later he was practically jogging down the stairs of the Royal Shrewsbury Hospital to pick up his prescription.<br><br>
 
